Chromosome	Start	End	Closest Gene	Locaiton	Distance To Gene's TSS
Chr1	25404400	25404477	AT1G67760	Gene_Downstream	1142
Chr1	10550307	10550433	AT1G30070	Gene_Upstream	-2219
Chr1	17128809	17128917	AT1G45207	Gene_Downstream	1488
Chr1	21724247	21724356	AT1G58470	Gene_Upstream	-2723
Chr1	10577088	10577206	AT1G30110	Gene_Upstream	-4588
Chr1	24662863	24663166	AT1G66200	Gene_Upstream	-5331
Chr1	12575048	12575152	AT1G34410	Gene_Upstream	-2622
Chr1	4427013	4427226	AT1G12980	Gene_Upstream	-2599
Chr1	17526986	17527089	AT1G47655	Gene_Downstream	731
Chr1	3308438	3308593	AT1G10120	Gene_Upstream	-1691
Chr1	17578647	17578690	AT1G47765	Gene_Upstream	-2576
Chr1	8487916	8488154	AT1G23980	Gene_Upstream	-2033
Chr1	13369318	13369435	AT1G35910	Gene_Upstream	-4316
Chr1	5359864	5359899	AT1G15570	Gene_Upstream	-2128
Chr1	11709108	11709306	AT1G32430	Gene_Upstream	-2882
Chr1	8851870	8852229	AT1G25250	Gene_Downstream	437
Chr1	10969079	10969185	AT1G30840	Gene_Upstream	-5313
Chr1	18243759	18243920	AT1G49320	Gene_Upstream	-2466
Chr1	21197809	21198171	AT1G56580	Gene_Downstream	269
Chr1	25818590	25818734	AT1G68740	Gene_Upstream	-2005
Chr1	10872386	10872493	AT1G30650	Gene_Downstream	1142
Chr1	15894909	15895069	AT1G42430	Gene_Downstream	545
Chr1	28346944	28347005	AT1G75510	Gene_Downstream	81
Chr1	5506810	5507080	AT1G16060	Gene_Upstream	-1562
Chr1	25226087	25226285	AT1G67340	Gene_Upstream	-4079
Chr1	6232313	6232379	AT1G18100	Gene_Upstream	-2158
Chr1	11722956	11723024	AT1G32450	Gene_Upstream	-3020
Chr1	21670931	21671002	AT1G58350	Gene_Upstream	-35210
Chr1	24414741	24415040	AT1G65640	Gene_Upstream	-1363
Chr1	17526240	17526574	AT1G47655	Gene_Downstream	101
Chr1	8306977	8307203	AT1G23390	Gene_Downstream	2022
Chr1	2241849	2241974	AT1G07290	Gene_Downstream	345
Chr1	24535677	24535837	AT1G65930	Gene_Upstream	-3129
Chr1	7056352	7056511	AT1G20370	Gene_Upstream	-2790
Chr1	21690252	21690365	AT1G58380	Gene_Downstream	52
Chr1	20955516	20955602	AT1G56030	Gene_Downstream	1539
Chr1	12021160	12021198	AT1G33140	Gene_Upstream	-2096
Chr1	17500053	17500184	AT1G47603	Gene_Upstream	-2008
Chr1	12262893	12262930	AT1G33800	Gene_Downstream	194
Chr1	26262177	26262507	AT1G69780	Gene_Downstream	1591
Chr1	17501012	17501193	AT1G47603	Gene_Upstream	-2992
Chr1	18273518	18273680	AT1G49380	Gene_Upstream	-3108
Chr1	28663851	28664138	AT1G76405	Gene_Downstream	205
Chr1	4903048	4903179	AT1G14345	Gene_Downstream	3134
Chr1	22065134	22065218	AT1G59940	Gene_Downstream	441
Chr1	26246197	26246389	AT1G69760	Gene_Upstream	-5585
Chr1	18859088	18859170	AT1G50880	Gene_Upstream	-1708
Chr1	4937882	4937938	AT1G14440	Gene_Downstream	914
Chr1	20022157	20022331	AT1G53635	Gene_Upstream	-2445
Chr1	25534791	25534836	AT1G68130	Gene_Downstream	227
Chr1	1607635	1607937	AT1G05460	Gene_Upstream	-2759
Chr1	10564055	10564214	AT1G30090	Gene_Upstream	-2711
Chr1	5350974	5351189	AT1G15550	Gene_Upstream	-4915
Chr1	21913821	21914073	AT1G59640	Gene_Upstream	-2746
Chr1	8852623	8853096	AT1G25260	Gene_Downstream	1100
Chr1	22376836	22377066	AT1G60783	Gene_Downstream	1105
Chr1	23327159	23327332	AT1G62975	Gene_Upstream	-1605
Chr1	20734906	20734958	AT1G55535	Gene_Upstream	-935
Chr1	21356572	21356707	AT1G57660	Gene_Downstream	102
Chr1	8179004	8179197	AT1G23074	Gene_Downstream	1104
Chr1	28497073	28497137	AT1G75900	Gene_Upstream	-1955
Chr1	4554024	4554395	AT1G13290	Gene_Upstream	-2589
Chr1	12135087	12135220	AT1G33440	Gene_Upstream	-4746
Chr1	18486765	18486925	AT1G49938	Gene_Downstream	700
Chr1	7690643	7690678	AT1G21900	Gene_Downstream	142
Chr1	16417117	16417254	AT1G43600	Gene_Downstream	1163
Chr1	20558483	20558587	AT1G55090	Gene_Downstream	6
Chr1	3522481	3522596	AT1G10650	Gene_Downstream	1480
Chr1	6793993	6794185	AT1G19640	Gene_Upstream	-2243
Chr1	2353442	2353588	AT1G07640	Gene_Downstream	839
Chr1	2389377	2389650	AT1G07710	Gene_Upstream	-1527
Chr1	17402147	17402237	AT1G47450	Gene_Downstream	492
Chr1	7805625	7805801	AT1G22110	Gene_Upstream	-3151
Chr1	23239954	23240294	AT1G62760	Gene_Upstream	-1612
Chr1	2049259	2049652	AT1G06680	Gene_Downstream	37
Chr1	10529958	10530125	AT1G30040	Gene_Upstream	-7607
Chr1	6494384	6494684	AT1G18835	Gene_Downstream	1564
Chr1	29876825	29876971	AT1G79430	Gene_Downstream	330
Chr1	22419603	22419812	AT1G60890	Gene_Upstream	-2463
Chr1	17652930	17653098	AT1G47900	Gene_Upstream	-1589
Chr1	13368334	13368443	AT1G35910	Gene_Upstream	-3328
Chr1	3580598	3580705	AT1G10750	Gene_Upstream	-2177
Chr1	23735956	23736070	AT1G63950	Gene_Downstream	457
Chr1	12096243	12096345	AT1G33360	Gene_Downstream	269
Chr1	4619395	4619458	AT1G13470	Gene_Downstream	802
Chr1	4697773	4698039	AT1G13700	Gene_Upstream	-1883
Chr1	10725514	10725718	AT1G30400	Gene_Upstream	-2022
Chr1	9056991	9057052	AT1G26180	Gene_Downstream	169
Chr1	21018106	21018213	AT1G56150	Gene_Downstream	220
Chr1	25802560	25802718	AT1G68720	Gene_Upstream	-1779
Chr1	19653951	19654016	AT1G52770	Gene_Upstream	-1856
Chr1	2173069	2173152	AT1G07090	Gene_Downstream	842
Chr1	16935282	16935409	AT1G44830	Gene_Downstream	834
Chr1	26248044	26248333	AT1G69770	Gene_Downstream	130
Chr1	1739271	1739332	AT1G05800	Gene_Upstream	-1903
Chr1	25702521	25702593	AT1G68500	Gene_Downstream	46
Chr1	7518534	7518840	AT1G21470	Gene_Upstream	-1508
Chr1	12056851	12057208	AT1G33250	Gene_Downstream	221
Chr1	10865508	10865567	AT1G30650	Gene_Upstream	-2766
Chr1	6768805	6769278	AT1G19550	Gene_Upstream	-1058
Chr1	15949453	15949543	AT1G42480	Gene_Downstream	10635
Chr1	22252458	22252660	AT1G60400	Gene_Upstream	-1846
Chr1	7459291	7459474	AT1G21310	Gene_Upstream	-4373
Chr1	12381874	12382020	AT1G34042	Gene_Upstream	-2260
Chr1	17578238	17578533	AT1G47765	Gene_Upstream	-2293
Chr1	23156893	23157067	AT1G62560	Gene_Upstream	-2843
Chr1	10026615	10026706	AT1G28520	Gene_Upstream	-2490
Chr1	22127614	22127702	AT1G60050	Gene_Upstream	-3956
Chr1	17840702	17840980	AT1G48280	Gene_Downstream	3124
Chr1	13320777	13321010	AT1G35830	Gene_Downstream	321
Chr1	18295880	18296194	AT1G49435	Gene_Downstream	3393
Chr1	18827079	18827157	AT1G50790	Gene_Upstream	-630
Chr1	19819694	19819786	AT1G53170	Gene_Downstream	1597
Chr1	24319489	24319720	AT1G65450	Gene_Downstream	540
Chr1	24635473	24635606	AT1G66160	Gene_Upstream	-1657
Chr1	1217511	1217599	AT1G04480	Gene_Downstream	88
Chr1	7235306	7235387	AT1G20816	Gene_Downstream	218
Chr1	10872003	10872170	AT1G30650	Gene_Downstream	789
Chr1	17885733	17886068	AT1G48405	Gene_Upstream	-286
Chr1	28670953	28671141	AT1G76410	Gene_Downstream	1401
Chr1	103663	103880	AT1G01250	Gene_Downstream	720
Chr1	25683870	25684156	AT1G68480	Gene_Downstream	301
Chr1	24745877	24745936	AT1G66350	Gene_Upstream	-2289
Chr1	7763146	7763313	AT1G22030	Gene_Upstream	-2673
Chr1	12254745	12254808	AT1G33790	Gene_Upstream	-1888
Chr1	10242895	10243172	AT1G29290	Gene_Upstream	-1933
Chr1	24252196	24252475	AT1G65295	Gene_Downstream	32
Chr1	25150589	25150644	AT1G67220	Gene_Downstream	58
Chr1	22758892	22758941	AT1G61660	Gene_Upstream	-2616
Chr1	11862399	11862483	AT1G32763	Gene_Upstream	-1550
Chr1	28357344	28357365	AT1G75530	Gene_Upstream	-1955
Chr1	22953872	22954001	AT1G62085	Gene_Upstream	-3794
Chr1	4031254	4031419	AT1G11930	Gene_Downstream	752
Chr1	25135859	25135992	AT1G67190	Gene_Downstream	1494
Chr1	16142048	16142200	AT1G43000	Gene_Downstream	469
Chr1	12061659	12061725	AT1G33250	Gene_Upstream	-2207
Chr1	18958817	18959037	AT1G51170	Gene_Upstream	-4035
Chr1	28238112	28238207	AT1G75240	Gene_Upstream	-2913
Chr1	26445219	26445547	AT1G70220	Gene_Downstream	753
Chr1	28325363	28325672	AT1G75460	Gene_Upstream	-2369
Chr1	21038823	21038900	AT1G56210	Gene_Downstream	1650
Chr1	19083991	19084072	AT1G51460	Gene_Upstream	-2598
Chr1	22111613	22111940	AT1G60030	Gene_Downstream	2065
Chr1	1839254	1839283	AT1G06070	Gene_Upstream	-1620
Chr1	4212684	4212701	AT1G12370	Gene_Upstream	-3741
Chr1	16817630	16817769	AT1G44191	Gene_Upstream	-2966
Chr1	25529203	25529321	AT1G68120	Gene_Upstream	-1728
Chr1	25536983	25537440	AT1G68140	Gene_Downstream	1734
Chr1	22166335	22166589	AT1G60110	Gene_Upstream	-2040
Chr1	13253175	13253231	AT1G35750	Gene_Downstream	195
Chr1	21374185	21374296	AT1G57720	Gene_Upstream	-3375
Chr1	3719802	3719924	AT1G11125	Gene_Downstream	152
Chr1	8225134	8225194	AT1G23200	Gene_Upstream	-2014
Chr1	4653713	4653917	AT1G13600	Gene_Upstream	-2346
Chr1	80631	80649	AT1G01190	Gene_Downstream	2405
Chr1	10143174	10143360	AT1G29050	Gene_Upstream	-4059
Chr1	1467688	1467858	AT1G05100	Gene_Upstream	-1837
Chr1	12919609	12919816	AT1G35230	Gene_Downstream	1949
Chr1	22533860	22533979	AT1G61130	Gene_Upstream	-2135
Chr1	26174077	26174240	AT1G69580	Gene_Downstream	546
